_id,word,hand[0][0],hand[0][1],hand[0][2],hand[0][3],hand[0][4],hand[0][5],hand[0][6],hand[0][7],hand[0][8],hand[0][9],hand[1][0],hand[1][1],hand[1][2],hand[1][3],hand[1][4],hand[1][5],hand[1][6],hand[1][7],hand[1][8],hand[1][9],hand[2][0],hand[2][1],hand[2][2],hand[2][3],hand[2][4],hand[2][5],hand[2][6],hand[2][7],hand[2][8],hand[2][9],hand[3][0],hand[3][1],hand[3][2],hand[3][3],hand[3][4],hand[3][5],hand[3][6],hand[3][7],hand[3][8],hand[3][9],hand[4][0],hand[4][1],hand[4][2],hand[4][3],hand[4][4],hand[4][5],hand[4][6],hand[4][7],hand[4][8],hand[4][9],hand[5][0],hand[5][1],hand[5][2],hand[5][3],hand[5][4],hand[5][5],hand[5][6],hand[5][7],hand[5][8],hand[5][9],hand[6][0],hand[6][1],hand[6][2],hand[6][3],hand[6][4],hand[6][5],hand[6][6],hand[6][7],hand[6][8],hand[6][9],hand[7][0],hand[7][1],hand[7][2],hand[7][3],hand[7][4],hand[7][5],hand[7][6],hand[7][7],hand[7][8],hand[7][9],hand[8][0],hand[8][1],hand[8][2],hand[8][3],hand[8][4],hand[8][5],hand[8][6],hand[8][7],hand[8][8],hand[8][9],hand[9][0],hand[9][1],hand[9][2],hand[9][3],hand[9][4],hand[9][5],hand[9][6],hand[9][7],hand[9][8],hand[9][9],hand[10][0],hand[10][1],hand[10][2],hand[10][3],hand[10][4],hand[10][5],hand[10][6],hand[10][7],hand[10][8],hand[10][9],hand[11][0],hand[11][1],hand[11][2],hand[11][3],hand[11][4],hand[11][5],hand[11][6],hand[11][7],hand[11][8],hand[11][9],hand[12][0],hand[12][1],hand[12][2],hand[12][3],hand[12][4],hand[12][5],hand[12][6],hand[12][7],hand[12][8],hand[12][9],hand[13][0],hand[13][1],hand[13][2],hand[13][3],hand[13][4],hand[13][5],hand[13][6],hand[13][7],hand[13][8],hand[13][9],hand[14][0],hand[14][1],hand[14][2],hand[14][3],hand[14][4],hand[14][5],hand[14][6],hand[14][7],hand[14][8],hand[14][9],hand[15][0],hand[15][1],hand[15][2],hand[15][3],hand[15][4],hand[15][5],hand[15][6],hand[15][7],hand[15][8],hand[15][9],hand[16][0],hand[16][1],hand[16][2],hand[16][3],hand[16][4],hand[16][5],hand[16][6],hand[16][7],hand[16][8],hand[16][9],hand[17][0],hand[17][1],hand[17][2],hand[17][3],hand[17][4],hand[17][5],hand[17][6],hand[17][7],hand[17][8],hand[17][9],hand[18][0],hand[18][1],hand[18][2],hand[18][3],hand[18][4],hand[18][5],hand[18][6],hand[18][7],hand[18][8],hand[18][9],hand[19][0],hand[19][1],hand[19][2],hand[19][3],hand[19][4],hand[19][5],hand[19][6],hand[19][7],hand[19][8],hand[19][9],hand[20][0],hand[20][1],hand[20][2],hand[20][3],hand[20][4],hand[20][5],hand[20][6],hand[20][7],hand[20][8],hand[20][9],hand[21][0],hand[21][1],hand[21][2],hand[21][3],hand[21][4],hand[21][5],hand[21][6],hand[21][7],hand[21][8],hand[21][9],hand[22][0],hand[22][1],hand[22][2],hand[22][3],hand[22][4],hand[22][5],hand[22][6],hand[22][7],hand[22][8],hand[22][9],hand[23][0],hand[23][1],hand[23][2],hand[23][3],hand[23][4],hand[23][5],hand[23][6],hand[23][7],hand[23][8],hand[23][9],hand[24][0],hand[24][1],hand[24][2],hand[24][3],hand[24][4],hand[24][5],hand[24][6],hand[24][7],hand[24][8],hand[24][9],hand[25][0],hand[25][1],hand[25][2],hand[25][3],hand[25][4],hand[25][5],hand[25][6],hand[25][7],hand[25][8],hand[25][9]
6506a606a49881a88077ddfa,hello,1023,584,1023,647,815,1023,1023,893.5,1023,1023,1023,426,1023,199.5,458,1023,1023,878,1023,1023,1023,790,1023,221.5,427.5,1023,1023,903.5,1023,1023,1023,1023,1023,456,578,1023,1023,915.5,1023,1023,1019,1023,982.5,611.5,718,1023,1023,919,1023,1023,269,1023,246.5,513,636.5,1023,1023,917,1023,1023,330,573,221,433.5,576,1023,1023,906,1023,1023,397.5,218.5,110.5,977,861,1023,1023,1023,1023,1023,614,417,141,689.5,799.5,1023,1023,1023,1023,1023,816,698.5,290,337,532,1023,1023,1023,1023,1023,935.5,729,518,367,535.5,1023,1023,1023,1023,1023,1020,766,814,483,635,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506a60f8b09ea1bccbfaa01,hello,1023,779,1023,303.5,557.5,1023,1023,1023,1023,1023,1023,1023,1023,443,557,1023,1023,1023,1023,1023,339,950.5,233.5,662,794,1023,1023,1023,1023,1023,504,501,112,684.5,772,1023,1023,1023,1023,1023,574,244.5,97.5,408,598.5,1023,1023,1023,1023,1023,674.5,401.5,123,411.5,531.5,1023,1023,1023,1023,1023,1016,674.5,341.5,621,703,1023,1023,1023,1023,1023,1023,896,651.5,560.5,612.5,1023,1023,1023,1023,1023,1023,1023,678.5,830,825,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506a6164678bbf68992da80,hello,703,1023,606.5,837.5,920.5,1023,1023,1023,1023,1023,421.5,745,166,696.5,779.5,1023,1023,1023,1023,1023,168,581.5,206.5,740,780,1023,1023,1023,1023,1023,158,666.5,270.5,767.5,811.5,1023,1023,1023,1023,1023,224,717,341,725,819.5,1023,1023,1023,1023,1023,560.5,630.5,288,707,856,1023,1023,1023,1023,1023,799,298.5,143,716,825,1023,1023,1023,1023,1023,1023,560.5,252,899,920,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506a61ef5a9d3cab0fcb1f7,hello,1023,888.5,1023,532.5,671,1023,1023,1023,1023,1023,1023,795,1023,554.5,644,1023,1023,1023,1023,1023,357,1023,519.5,714,835,1023,1023,1023,1023,1023,512.5,1023,380.5,853.5,856.5,1023,1023,1023,1023,1023,610.5,1023,289.5,867,903.5,1023,1023,1023,1023,1023,791.5,665.5,183,655,744.5,1023,1023,1023,1023,1023,758.5,333.5,133,874,880.5,1023,1023,1023,1023,1023,898.5,388.5,152.5,1023,979,1023,1023,1023,1023,1023,1023,631,267,622,789.5,1023,1023,1023,1023,1023,1023,915,530.5,754.5,790,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506a626340f46642112b0b1,hello,1023,916.5,425,785,861.5,1023,1023,1023,1023,1023,1023,656,441,784,843.5,1023,1023,1023,1023,1023,482.5,690,495,1023,986.5,1023,1023,1023,1023,1023,289.5,762.5,575.5,1023,1009.5,1023,1023,1023,1023,1023,352.5,922.5,803.5,1023,1019.5,1023,1023,1023,1023,1023,876,471.5,139,797,875.5,1023,1023,1023,1023,1023,815.5,358.5,155,785.5,831,1023,1023,1023,1023,1023,1023,741,568,693.5,792,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506a62e3742309861d1ea99,hello,1023,1023,400,744.5,813,1023,1023,1023,1023,1023,1023,1023,283.5,804,863,1023,1023,1023,1023,1023,1023,781.5,612,784.5,849.5,1023,1023,1023,1023,1023,744,305.5,172.5,711,795.5,1023,1023,1023,1023,1023,505.5,632,526.5,1023,1003.5,1023,1023,1023,1023,1023,679.5,730.5,951.5,1023,999,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506a63710b7b12bf2273496,hello,681,1023,311,1020,993,1023,1023,1023,1023,1023,504,1023,277,961.5,914.5,1023,1023,1023,1023,1023,551,1023,257.5,879.5,931.5,1023,1023,1023,1023,1023,677,1023,283,973,962.5,1023,1023,1023,1023,1023,1023,913,404.5,838,915.5,1023,1023,1023,1023,1023,972.5,329.5,135.5,792,861.5,1023,1023,1023,1023,1023,443.5,376,164,525,646.5,1023,1023,1023,1023,1023,565,638,411,495.5,629.5,1023,1023,1023,1023,1023,883,788.5,621,767,795,1023,1023,1023,1023,1023,1023,834.5,615.5,940,926.5,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506a640a0bbde4545040dc3,hello,884,835.5,307,635.5,768,1023,1023,1023,1023,1023,976,660,326,872,855,1023,1023,1023,1023,1023,1005.5,903,401,923.5,921.5,1023,1023,1023,1023,1023,1023,1023,407,562,764.5,1023,1023,1023,1023,1023,759.5,404,204.5,601.5,699,1023,1023,1023,1023,1023,692,564,303.5,865,857,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506a6494f0dc1bcbea4b530,hello,1006.5,1023,294.5,1023,988,1023,1023,1023,1023,1023,898.5,991,256.5,1023,994,1023,1023,1023,1023,1023,978.5,1023,277,1023,997.5,1023,1023,1023,1023,1023,566.5,1023,497,1023,1019.5,1023,1023,1023,1023,1023,603,1023,681.5,1023,1001.5,1023,1023,1023,1023,1023,738,1023,614,1001,980,1023,1023,1023,1023,1023,894.5,1023,308.5,582,733.5,1023,1023,1023,1023,1023,900,465.5,280.5,1017,961,1023,1023,1023,1023,1023,536,511,291,577.5,723.5,1023,1023,1023,1023,1023,809.5,846,768,804,861,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6506a651a468bf1a0649ddbd,hello,1023,825.5,291.5,907,931,1023,1023,1023,1023,1023,1023,380,182.5,721.5,792.5,1023,1023,1023,1023,1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
