_id,word,hand[0][0],hand[0][1],hand[0][2],hand[0][3],hand[0][4],hand[1][0],hand[1][1],hand[1][2],hand[1][3],hand[1][4],hand[2][0],hand[2][1],hand[2][2],hand[2][3],hand[2][4],hand[3][0],hand[3][1],hand[3][2],hand[3][3],hand[3][4],hand[4][0],hand[4][1],hand[4][2],hand[4][3],hand[4][4],hand[5][0],hand[5][1],hand[5][2],hand[5][3],hand[5][4],hand[6][0],hand[6][1],hand[6][2],hand[6][3],hand[6][4],hand[7][0],hand[7][1],hand[7][2],hand[7][3],hand[7][4],hand[8][0],hand[8][1],hand[8][2],hand[8][3],hand[8][4],hand[9][0],hand[9][1],hand[9][2],hand[9][3],hand[9][4],hand[10][0],hand[10][1],hand[10][2],hand[10][3],hand[10][4],hand[11][0],hand[11][1],hand[11][2],hand[11][3],hand[11][4],hand[12][0],hand[12][1],hand[12][2],hand[12][3],hand[12][4],hand[13][0],hand[13][1],hand[13][2],hand[13][3],hand[13][4],hand[14][0],hand[14][1],hand[14][2],hand[14][3],hand[14][4],hand[15][0],hand[15][1],hand[15][2],hand[15][3],hand[15][4],hand[16][0],hand[16][1],hand[16][2],hand[16][3],hand[16][4],hand[17][0],hand[17][1],hand[17][2],hand[17][3],hand[17][4],hand[18][0],hand[18][1],hand[18][2],hand[18][3],hand[18][4],hand[19][0],hand[19][1],hand[19][2],hand[19][3],hand[19][4],hand[20][0],hand[20][1],hand[20][2],hand[20][3],hand[20][4],hand[21][0],hand[21][1],hand[21][2],hand[21][3],hand[21][4],hand[22][0],hand[22][1],hand[22][2],hand[22][3],hand[22][4],hand[23][0],hand[23][1],hand[23][2],hand[23][3],hand[23][4],hand[24][0],hand[24][1],hand[24][2],hand[24][3],hand[24][4],hand[25][0],hand[25][1],hand[25][2],hand[25][3],hand[25][4],hand[26][0],hand[26][1],hand[26][2],hand[26][3],hand[26][4],hand[27][0],hand[27][1],hand[27][2],hand[27][3],hand[27][4],hand[28][0],hand[28][1],hand[28][2],hand[28][3],hand[28][4],hand[29][0],hand[29][1],hand[29][2],hand[29][3],hand[29][4],hand[30][0],hand[30][1],hand[30][2],hand[30][3],hand[30][4],hand[31][0],hand[31][1],hand[31][2],hand[31][3],hand[31][4],hand[32][0],hand[32][1],hand[32][2],hand[32][3],hand[32][4],hand[33][0],hand[33][1],hand[33][2],hand[33][3],hand[33][4],hand[34][0],hand[34][1],hand[34][2],hand[34][3],hand[34][4],hand[35][0],hand[35][1],hand[35][2],hand[35][3],hand[35][4],hand[36][0],hand[36][1],hand[36][2],hand[36][3],hand[36][4],hand[37][0],hand[37][1],hand[37][2],hand[37][3],hand[37][4],hand[38][0],hand[38][1],hand[38][2],hand[38][3],hand[38][4],hand[39][0],hand[39][1],hand[39][2],hand[39][3],hand[39][4],hand[40][0],hand[40][1],hand[40][2],hand[40][3],hand[40][4],hand[41][0],hand[41][1],hand[41][2],hand[41][3],hand[41][4],hand[42][0],hand[42][1],hand[42][2],hand[42][3],hand[42][4],hand[43][0],hand[43][1],hand[43][2],hand[43][3],hand[43][4],hand[44][0],hand[44][1],hand[44][2],hand[44][3],hand[44][4],hand[45][0],hand[45][1],hand[45][2],hand[45][3],hand[45][4],hand[46][0],hand[46][1],hand[46][2],hand[46][3],hand[46][4],hand[47][0],hand[47][1],hand[47][2],hand[47][3],hand[47][4],hand[48][0],hand[48][1],hand[48][2],hand[48][3],hand[48][4],hand[49][0],hand[49][1],hand[49][2],hand[49][3],hand[49][4],hand[50][0],hand[50][1],hand[50][2],hand[50][3],hand[50][4],hand[51][0],hand[51][1],hand[51][2],hand[51][3],hand[51][4],hand[52][0],hand[52][1],hand[52][2],hand[52][3],hand[52][4],hand[53][0],hand[53][1],hand[53][2],hand[53][3],hand[53][4],hand[54][0],hand[54][1],hand[54][2],hand[54][3],hand[54][4],hand[55][0],hand[55][1],hand[55][2],hand[55][3],hand[55][4],hand[56][0],hand[56][1],hand[56][2],hand[56][3],hand[56][4],hand[57][0],hand[57][1],hand[57][2],hand[57][3],hand[57][4],hand[58][0],hand[58][1],hand[58][2],hand[58][3],hand[58][4],hand[59][0],hand[59][1],hand[59][2],hand[59][3],hand[59][4],hand[60][0],hand[60][1],hand[60][2],hand[60][3],hand[60][4],hand[61][0],hand[61][1],hand[61][2],hand[61][3],hand[61][4]
656e54ff24eed63bcf366d72,a,348,221,1019,619,1019.5,99.5,81,490.5,361,1016.5,45.5,44.5,94.5,133,1015,32.5,34.5,68.5,110.5,1015.5,31,33.5,65.5,105.5,1015,34.5,37,74,122,1015.5,62,78,182,208,995.5,163.5,183.5,732,584.5,1018.5,529.5,311.5,1019.5,1000.5,1021.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656e550424eed63bcf366d73,a,206.5,178,1018,500.5,1018,81,74.5,326,203,1015.5,39.5,47.5,85.5,127.5,1015.5,31.5,39.5,63,109,1014.5,31,39.5,64.5,117.5,1014.5,32.5,39,66,129,783,46,65,116,174,750,78.5,152.5,236,253.5,908.5,202.5,223.5,669,696.5,1018,717,472.5,1020.5,1021,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656e550b24eed63bcf366d74,a,829,1022.5,1020,720,1020.5,203,214,1018,591,1019,98,98.5,444,276,905.5,40.5,51,96,127.5,789,33.5,44.5,76,113.5,912.5,32,41.5,69,113.5,1015,32,40,68,119,1015,32,40,69.5,133,1015.5,32,39.5,70.5,144,1014.5,33.5,41.5,72,142.5,895.5,35,45,77,148,753,62.5,114,166,213.5,878.5,217,205.5,655.5,697.5,1018.5,679,289,1019.5,1021.5,1020.5,885.5,498.5,1021,1022,1021.5,1020.5,638,1022,1021,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656e550e24eed63bcf366d75,a,127.5,63,127,277.5,1015.5,50.5,35,89.5,125.5,1015.5,38,31.5,67.5,119.5,1015,37,31.5,64.5,124.5,1015,55,49.5,102.5,175.5,1015.5,325,179,813.5,775.5,1018,923.5,837,1021,1023,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656e551324eed63bcf366d76,a,84.5,65.5,170.5,252,1015,49.5,41,81.5,129,1014.5,40,37,69,123,1015.5,39,34.5,70.5,126,1015,40,36,71.5,134,1017,40,35.5,71.5,139.5,1015.5,40,35.5,71.5,146,1016,41,35.5,70.5,148.5,1015,41,37,71.5,154,1014.5,41.5,39.5,71,155,1015,42.5,40.5,74.5,159,1015.5,59,61.5,130.5,216.5,1016,208,145.5,435,364,1016.5,594.5,282,855.5,891.5,1020.5,970,873,1022.5,1021,1022.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656e551824eed63bcf366d77,a,160,136,424.5,324.5,1016.5,54.5,50,95,132,1015,44.5,40,74,129,1015,42,37.5,75,135,1015,42,38,75.5,136.5,1015,42,38,74,140.5,1014,42.5,37,73.5,144.5,1014.5,42,36.5,74,149,1015.5,43,37.5,74,152,1014.5,47,44.5,91,170.5,1014.5,122,104.5,306.5,245.5,1016,544,249,838.5,997,1020,850,328,1021,1021,1021.5,997.5,483.5,1021,1021,1022.5,1022.5,860,1022.5,1023,1021.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656e551d24eed63bcf366d78,a,321,126,400,484,1017.5,61,35.5,78.5,188,1015.5,48.5,28.5,66,103,1014.5,45.5,25.5,65,103.5,1015,44.5,24.5,65.5,114.5,1014.5,43.5,24,65.5,122.5,1015.5,44.5,24,66,122,1016,45,24.5,66,121.5,1016,45.5,25,66.5,124,1015,49,29,71,145.5,1014.5,122,72,262,328,1015.5,693,368.5,860.5,972,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656e552124eed63bcf366d79,a,105,60,130,274,1015.5,51.5,31.5,72,128.5,1015,45.5,27,61,103,1016.5,44.5,26.5,60,101,1016,44,26,60,106,1015.5,44,27,60.5,110,1016.5,44.5,27,60,114,1015,44.5,27,61.5,115.5,1014.5,48,31.5,69,146,1015,94,62.5,201.5,308.5,1015.5,339.5,161,534.5,668.5,1018,780.5,323,896,907,1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656e552624eed63bcf366d7a,a,636.5,618,718.5,791.5,1020.5,107,71.5,244,339,1016,51,36.5,90.5,172,1014.5,43,30,77,130,1015,39.5,28.5,76,133.5,1014.5,40,28,78.5,132.5,1013.5,40,28,77.5,138.5,1013.5,39.5,27.5,76.5,141,1014.5,40,28,77.5,142,1014.5,40.5,28,80.5,142.5,1015,41,29.5,79.5,143.5,1015.5,41,30,79,146,1015.5,45.5,34.5,92,175.5,1015,97.5,74.5,225,331.5,1016,521,223,752.5,869.5,1019.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656e552b24eed63bcf366d7b,a,445.5,183.5,352.5,499,1018,69.5,40,93.5,199,1014,52.5,31.5,74,119,1014.5,44.5,28.5,72,122,1015.5,43,26.5,74,137.5,1015,43.5,27,74.5,143,1015.5,43.5,27,75,143,1015,44,28,75,145,1015,44,29,77,144.5,1015,46,31.5,79,149,1014.5,82,60,192,248.5,1016,354,147.5,479.5,617,1019,784.5,980,1023,1021.5,1022.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
